geoid,name,B01003001,"B01003001, Error"
14000US06073005500,"Census Tract 55, San Diego, CA",216,121
14000US06073005600,"Census Tract 56, San Diego, CA",4277,330
14000US06073005700,"Census Tract 57, San Diego, CA",1641,481
14000US06073005800,"Census Tract 58, San Diego, CA",3078,294
14000US06073005900,"Census Tract 59, San Diego, CA",3176,255
14000US06073006000,"Census Tract 60, San Diego, CA",3881,460
14000US06073006100,"Census Tract 61, San Diego, CA",2365,233
14000US06073006200,"Census Tract 62, San Diego, CA",23,13
14000US06073006300,"Census Tract 63, San Diego, CA",3335,678
14000US06073006500,"Census Tract 65, San Diego, CA",2967,340
14000US06073006600,"Census Tract 66, San Diego, CA",1726,158
14000US06073006801,"Census Tract 68.01, San Diego, CA",2404,208
14000US06073006802,"Census Tract 68.02, San Diego, CA",5626,629
14000US06073006900,"Census Tract 69, San Diego, CA",5660,566
14000US06073007002,"Census Tract 70.02, San Diego, CA",3097,230
14000US06073007100,"Census Tract 71, San Diego, CA",4711,470
14000US06073007200,"Census Tract 72, San Diego, CA",6140,307
14000US06073007301,"Census Tract 73.01, San Diego, CA",4878,529
14000US06073007302,"Census Tract 73.02, San Diego, CA",2122,143
14000US06073007400,"Census Tract 74, San Diego, CA",6742,502
14000US06073007501,"Census Tract 75.01, San Diego, CA",4016,434
14000US06073007502,"Census Tract 75.02, San Diego, CA",3030,310
14000US06073007600,"Census Tract 76, San Diego, CA",4612,794
14000US06073007701,"Census Tract 77.01, San Diego, CA",4022,440
14000US06073007702,"Census Tract 77.02, San Diego, CA",3914,340
14000US06073007800,"Census Tract 78, San Diego, CA",6044,638
14000US06073007903,"Census Tract 79.03, San Diego, CA",4335,654
14000US06073007905,"Census Tract 79.05, San Diego, CA",3047,529
14000US06073007907,"Census Tract 79.07, San Diego, CA",3469,474
14000US06073007908,"Census Tract 79.08, San Diego, CA",3229,335
14000US06073007910,"Census Tract 79.10, San Diego, CA",3049,245
14000US06073008002,"Census Tract 80.02, San Diego, CA",2984,300
14000US06073008003,"Census Tract 80.03, San Diego, CA",4016,272
14000US06073008006,"Census Tract 80.06, San Diego, CA",4051,376
14000US06073008101,"Census Tract 81.01, San Diego, CA",3898,400
14000US06073008102,"Census Tract 81.02, San Diego, CA",3367,223
14000US06073008200,"Census Tract 82, San Diego, CA",2602,275
14000US06073008301,"Census Tract 83.01, San Diego, CA",3043,207
14000US06073008303,"Census Tract 83.03, San Diego, CA",3545,254
14000US06073008305,"Census Tract 83.05, San Diego, CA",2070,138
14000US06073008306,"Census Tract 83.06, San Diego, CA",3248,203
14000US06073008307,"Census Tract 83.07, San Diego, CA",3802,266
14000US06073008310,"Census Tract 83.10, San Diego, CA",6042,627
14000US06073008311,"Census Tract 83.11, San Diego, CA",3105,292
14000US06073008312,"Census Tract 83.12, San Diego, CA",3701,303
14000US06073008313,"Census Tract 83.13, San Diego, CA",2156,168
14000US06073008324,"Census Tract 83.24, San Diego, CA",6885,413
14000US06073008327,"Census Tract 83.27, San Diego, CA",5997,450
14000US06073008328,"Census Tract 83.28, San Diego, CA",5795,415
14000US06073008329,"Census Tract 83.29, San Diego, CA",6565,458
14000US06073008330,"Census Tract 83.30, San Diego, CA",5859,508
14000US06073008331,"Census Tract 83.31, San Diego, CA",2459,156
14000US06073008333,"Census Tract 83.33, San Diego, CA",15549,1048
14000US06073008335,"Census Tract 83.35, San Diego, CA",9956,675
14000US06073008336,"Census Tract 83.36, San Diego, CA",2209,161
14000US06073008337,"Census Tract 83.37, San Diego, CA",4513,331
14000US06073008339,"Census Tract 83.39, San Diego, CA",2106,219
14000US06073008340,"Census Tract 83.40, San Diego, CA",8995,830
14000US06073008341,"Census Tract 83.41, San Diego, CA",7941,679
14000US06073008343,"Census Tract 83.43, San Diego, CA",5206,385
14000US06073008344,"Census Tract 83.44, San Diego, CA",3523,236
14000US06073008345,"Census Tract 83.45, San Diego, CA",4108,395
14000US06073008346,"Census Tract 83.46, San Diego, CA",5021,275
14000US06073008347,"Census Tract 83.47, San Diego, CA",6837,360
14000US06073008348,"Census Tract 83.48, San Diego, CA",5836,394
14000US06073008349,"Census Tract 83.49, San Diego, CA",3890,263
14000US06073008350,"Census Tract 83.50, San Diego, CA",6327,551
14000US06073008351,"Census Tract 83.51, San Diego, CA",4253,212
14000US06073008352,"Census Tract 83.52, San Diego, CA",4198,538
14000US06073008353,"Census Tract 83.53, San Diego, CA",5271,344
14000US06073008354,"Census Tract 83.54, San Diego, CA",7703,664
14000US06073008355,"Census Tract 83.55, San Diego, CA",3502,194
14000US06073008356,"Census Tract 83.56, San Diego, CA",4244,283
14000US06073008357,"Census Tract 83.57, San Diego, CA",5349,452
14000US06073008358,"Census Tract 83.58, San Diego, CA",7477,659
14000US06073008359,"Census Tract 83.59, San Diego, CA",4659,283
14000US06073008360,"Census Tract 83.60, San Diego, CA",6484,590
14000US06073008361,"Census Tract 83.61, San Diego, CA",2493,277
14000US06073008362,"Census Tract 83.62, San Diego, CA",3361,287
14000US06073008363,"Census Tract 83.63, San Diego, CA",5627,549
14000US06073008364,"Census Tract 83.64, San Diego, CA",5798,551
14000US06073008365,"Census Tract 83.65, San Diego, CA",3287,200
14000US06073008366,"Census Tract 83.66, San Diego, CA",7277,337
14000US06073008501,"Census Tract 85.01, San Diego, CA",5676,341
14000US06073008502,"Census Tract 85.02, San Diego, CA",6324,511
14000US06073008503,"Census Tract 85.03, San Diego, CA",6574,514
14000US06073008504,"Census Tract 85.04, San Diego, CA",6045,490
14000US06073008505,"Census Tract 85.05, San Diego, CA",6437,451
14000US06073008506,"Census Tract 85.06, San Diego, CA",4591,295
14000US06073008507,"Census Tract 85.07, San Diego, CA",8312,607
14000US06073008509,"Census Tract 85.09, San Diego, CA",7811,578
14000US06073008510,"Census Tract 85.10, San Diego, CA",6859,474
14000US06073008511,"Census Tract 85.11, San Diego, CA",3750,375
14000US06073008512,"Census Tract 85.12, San Diego, CA",4583,353
14000US06073008513,"Census Tract 85.13, San Diego, CA",2945,215
